tempo_ms,hx_raw,hx_net,invalid,beep_up,beep_down,trim_release,limit_top,limit_bottom,movement,ap,hyd,pos
102919,271368,56107,0,0,0,0,0,0,0,0,0,0
103211,271758,56497,0,0,0,0,0,0,0,0,0,0
103503,271687,56426,0,0,0,0,0,0,0,0,0,0
103794,271855,56594,0,0,0,0,0,0,0,0,0,0
104085,271972,56711,0,0,0,0,0,0,0,0,0,0
104377,271763,56502,0,0,0,0,0,0,0,0,0,0
104668,271580,56319,0,0,0,0,0,0,0,0,0,0
104959,271640,56379,0,0,0,0,0,0,0,0,0,0
105252,271794,56533,0,0,0,0,0,0,0,0,0,0
105543,271788,56527,0,0,0,0,0,0,0,0,0,0
105835,271807,56546,0,0,0,0,0,0,0,0,0,0
106126,271751,56490,0,0,0,0,0,0,0,0,0,0
106417,271251,55990,0,0,0,0,0,0,0,0,0,0
106709,271517,56256,0,0,0,0,0,0,0,0,0,0
107001,271852,56591,0,0,0,0,0,0,0,0,0,0
107292,271521,56260,0,0,0,0,0,0,0,0,0,0
107584,271353,56092,0,0,0,0,0,0,0,0,0,0
107875,271149,55888,0,0,0,0,0,0,0,0,0,0
108166,271265,56004,0,0,0,0,0,0,0,0,0,0
108458,271895,56634,0,0,0,0,0,0,0,0,0,0
108750,271297,56036,0,0,0,0,0,0,0,0,0,0
109041,271298,56037,0,0,0,0,0,0,0,0,0,0
109333,271615,56354,0,0,0,0,0,0,0,0,0,0
109624,272083,56822,0,0,0,0,0,0,0,0,0,0
109916,272091,56830,0,0,0,0,0,0,0,0,0,0
110207,271718,56457,0,0,0,0,0,0,0,0,0,0
110498,271336,56075,0,0,0,0,0,0,0,0,0,0
110791,271068,55807,0,0,0,0,0,0,0,0,0,0
111082,271093,55832,0,0,0,0,0,0,0,0,0,0
111373,271640,56379,0,0,0,0,0,0,0,0,0,0
111665,271640,56379,0,0,0,0,0,0,0,0,0,0
111956,271332,56071,0,0,0,0,0,0,0,0,0,0
112247,271133,55872,0,0,0,0,0,0,0,0,0,0
112540,271326,56065,0,0,0,0,0,0,0,0,0,0
112831,271437,56176,0,0,0,0,0,0,0,0,0,0
113122,271079,55818,0,0,0,0,0,0,0,0,0,0
113414,271603,56342,0,0,0,0,0,0,0,0,0,0
113705,271285,56024,0,0,0,0,0,0,0,0,0,0
113997,270566,55305,0,0,0,0,0,0,0,0,0,0
114288,270711,55450,0,0,0,0,0,0,0,0,0,0
114580,270745,55484,0,0,0,0,0,0,0,0,0,0
114872,270690,55429,0,0,0,0,0,0,0,0,0,0
115163,270615,55354,0,0,0,0,0,0,0,0,0,0
115454,270817,55556,0,0,0,0,0,0,0,0,0,0
115746,270854,55593,0,0,0,0,0,0,0,0,0,0
116037,270848,55587,0,0,0,0,0,0,0,0,0,0
116328,270947,55686,0,0,0,0,0,0,0,0,0,0
116621,270901,55640,0,0,0,0,0,0,0,0,0,0
116912,270830,55569,0,0,0,0,0,0,0,0,0,0
117204,270912,55651,0,0,0,0,0,0,0,0,0,0
117495,269855,54594,0,0,0,0,0,0,0,0,0,0
117786,269596,54335,0,0,0,0,0,0,0,0,0,0
118078,269594,54333,0,0,0,0,0,0,0,0,0,0
118369,269850,54589,0,0,0,0,0,0,0,0,0,0
118661,269943,54682,0,0,0,0,0,0,0,0,0,0
118953,269785,54524,0,0,0,0,0,0,0,0,0,0
119244,269770,54509,0,0,0,0,0,0,0,0,0,0
119536,269656,54395,0,0,0,0,0,0,0,0,0,0
119827,269708,54447,0,0,0,0,0,0,0,0,0,0
120118,269495,54234,0,0,0,0,0,0,0,0,0,0
120410,269787,54526,0,0,0,0,0,0,0,0,0,0
120701,269714,54453,0,0,0,0,0,0,0,0,0,0
120993,270116,54855,0,0,0,0,0,0,0,0,0,0
121285,270046,54785,0,0,0,0,0,0,0,0,0,0
121576,270058,54797,0,0,0,0,0,0,0,0,0,0
121868,269969,54708,0,0,0,0,0,0,0,0,0,0
122159,269878,54617,0,0,0,0,0,0,0,0,0,0
122451,269950,54689,0,0,0,0,0,0,0,0,0,0
122742,267951,52690,0,0,0,0,0,0,0,0,0,0
123033,264192,48931,0,0,0,0,0,0,0,0,0,0
123325,264114,48853,0,0,0,0,0,0,0,0,0,0
123616,264186,48925,0,0,0,0,0,0,0,0,0,0
123909,264056,48795,0,0,0,0,0,0,0,0,0,0
124200,264215,48954,0,0,0,0,0,0,0,0,0,0
