tempo_ms,hx_raw,hx_net,delta,spikes,invalid
203976,248588,-537,-186,0,1
204270,248668,-457,80,0,1
204562,248540,-585,-128,0,1
204855,248596,-529,56,0,1
205148,248699,-426,103,0,1
205441,248549,-576,-150,0,1
205733,248482,-643,-67,0,1
206027,248584,-541,102,0,1
206320,248471,-654,-113,0,1
206612,248312,-813,-159,0,1
206906,248608,-517,296,0,1
207198,248450,-675,-158,0,1
207491,248574,-551,124,0,1
207783,248494,-631,-80,0,1
208077,248540,-585,46,0,1
208370,248512,-613,-28,0,1
208662,248515,-610,3,0,1
208956,248491,-634,-24,0,1
209248,248511,-614,20,0,1
209541,248477,-648,-34,0,1
209834,248486,-639,9,0,1
210127,248422,-703,-64,0,1
210420,248541,-584,119,0,1
210713,248538,-587,-3,0,1
211005,248344,-781,-194,0,1
211299,248356,-769,12,0,1
211591,248415,-710,59,0,1
211884,248364,-761,-51,0,1
212177,248489,-636,125,0,1
212469,248656,-469,167,0,1
212763,248612,-513,-44,0,1
213055,248656,-469,44,0,1
213349,248801,-324,145,0,1
213641,248612,-513,-189,0,1
213935,248829,-296,217,0,1
214227,248804,-321,-25,0,1
214519,248822,-303,18,0,1
214813,248774,-351,-48,0,1
215106,248771,-354,-3,0,1
215398,248834,-291,63,0,1
215692,248860,-265,26,0,1
215984,248899,-226,39,0,1
216278,248722,-403,-177,0,1
216570,248563,-562,-159,0,1
216863,248771,-354,208,0,1
217155,248914,-211,143,0,1
217449,248908,-217,-6,0,1
217741,248879,-246,-29,0,1
218034,248928,-197,49,0,1
218327,249018,-107,90,0,1
218620,249013,-112,-5,0,1
218913,249023,-102,10,0,1
219206,249007,-118,-16,0,1
219498,249034,-91,27,0,1
219791,249053,-72,19,0,1
220084,249097,-28,44,0,1
220377,248917,-208,-180,0,1
220670,248814,-311,-103,0,1
220962,248932,-193,118,0,1
221256,248968,-157,36,0,1
221548,249057,-68,89,0,1
221842,248889,-236,-168,0,1
222134,248726,-399,-163,0,1
222427,249053,-72,327,0,1
222720,248875,-250,-178,0,1
223013,248906,-219,31,0,1
223305,249033,-92,127,0,1
223599,249059,-66,26,0,1
223891,249079,-46,20,0,1
224184,249192,67,113,0,1
224477,249352,227,160,0,1
224770,249383,258,31,0,1
225063,249308,183,-75,0,1
225356,249432,307,124,0,1
225648,249547,422,115,0,1
225942,249331,206,-216,0,1
226234,249562,437,231,0,1
226527,249343,218,-219,0,1
226821,249244,119,-99,0,1
227113,249379,254,135,0,1
227406,249627,502,248,0,1
227698,249387,262,-240,0,1
227992,249446,321,59,0,1
228284,249316,191,-130,0,1
228577,249471,346,155,0,1
228870,249373,248,-98,0,1
229163,249226,101,-147,0,1
229455,249399,274,173,0,1
229749,249380,255,-19,0,1
230041,249491,366,111,0,1
230335,249538,413,47,0,1
230627,249468,343,-70,0,1
230920,249487,362,19,0,1
231213,249318,193,-169,0,1
231506,249361,236,43,0,1
231798,249109,-16,-252,0,1
232092,249175,50,66,0,1
232384,249229,104,54,0,1
232678,249347,222,118,0,1
232970,249453,328,106,0,1
233263,249389,264,-64,0,1
233556,249450,325,61,0,1
233849,249524,399,74,0,1
234141,249530,405,6,0,1
234435,249436,311,-94,0,1
234728,249403,278,-33,0,1
235020,249526,401,123,0,1
235314,249652,527,126,0,1
235606,249511,386,-141,0,1
